0;Item;Qty;Link
1;M3 hexagonal screw & bolt kit (varius lengths);2;https://www.amazon.fr/s?k=m3+bolts+and+nuts+six+sided+hollow&crid=39GHBVI7NWJIB&sprefix=m3+bolts+and+nuts+six+sided+hollow%2Caps%2C89&ref=nb_sb_noss
2;M5 hexagonal screw & bolt kit (varius lengths);2;https://www.amazon.fr/s?k=m5+bolts+and+nuts+six+sided+hollow&crid=1RZZ58RNET638&sprefix=m5+bolts+and+nuts+six+sided+hollow+%2Caps%2C104&ref=nb_sb_noss
3;;;
4;;;
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
11;;;
12;;;
13;;;
14;;;
15;;;
16;;;
17;;;
18;;;
19;;;
20;;;
21;;;
22;;;
23;;;
24;;;
25;;;
26;;;
;;;
;;;
;;;
;;;
;;;
