Item,Qty,Link
"Nema 17 stepper motor (a quite powerful one)",1,https://www.amazon.fr/s?k=nema+17+stepper+motor&crid=NM3MCB1FD3X6&sprefix=nema+17+stepper+motor%2Caps%2C116&ref=nb_sb_noss_1
Ultrasonic distance sensor,1,https://www.amazon.fr/s?k=ultrasonic+distance+sensor&crid=2FMTCOD67NLY0&sprefix=ultrasonic+distance+sensor%2Caps%2C76&ref=nb_sb_noss_2
"ATMEGA 2560 board (Arduino or equivalent)",1,https://www.amazon.fr/s?k=atmega+2560&crid=1H8BAGZ3WMRY7&sprefix=atmega%2Caps%2C102&ref=nb_sb_ss_ts-doa-p_7_6
L298N Dual H Bridge DC Stepper Motor Driver,1,https://www.amazon.fr/s?k=L298N+Dual+H+Bridge+DC+Stepper+Motor+Drive+Controller+Board+Module&crid=RZLV4W2R37EK&sprefix=l298n+dual+h+bridge+dc+stepper+motor+drive+controller+board+module%2Caps%2C76&ref=nb_sb_noss
12V DC Solenoid Water Valve,1,https://www.amazon.fr/s?k=12V+DC+Solenoid+Water+Valve&crid=2ABTKSXJ9T4C7&sprefix=12v+dc+solenoid+water+valve%2Caps%2C71&ref=nb_sb_noss
16x2 LCD screen,1,https://www.amazon.fr/s?k=16X2+lcd+screen&crid=2RP03XFK0X5IV&sprefix=16x2+lcd+screen+%2Caps%2C87&ref=nb_sb_noss
400 point solderless breadboard,1,https://www.amazon.fr/s?k=400+point+bradboard&crid=31SKV38BBN6PO&sprefix=400+point+bradboard%2Caps%2C76&ref=nb_sb_noss
830 point solderless breadboard,1,https://www.amazon.fr/s?k=830+point+bradboard&crid=2SKZGBY348UK&sprefix=830+point+bradboard%2Caps%2C67&ref=nb_sb_noss
TIP120 darlington transistor,1,https://www.amazon.fr/s?k=TIP120+Darlington+Transistor&crid=3BJEX5Z3ZEQ4V&sprefix=tip120+darlington+transistor%2Caps%2C100&ref=nb_sb_noss
"1N4001 diode (1A 50V)",1,https://www.amazon.fr/s?k=1N4001+Diode+%E2%80%93+1A+50V&crid=2SVFXVV7UW02A&sprefix=1n4001+diode+1a+50v%2Caps%2C69&ref=nb_sb_noss
1K Ohm Resistor,1,https://www.amazon.fr/s?k=1K+Ohm+Resistor&crid=3R0J6ZZB7XWFC&sprefix=1k+ohm+resistor%2Caps%2C119&ref=nb_sb_noss_1
"220 Ohm Resistor",6,https://www.amazon.fr/s?k=220+%E2%84%A6+Resistor&crid=1AG5MUZLLHCW7&sprefix=220+%CF%89+resistor%2Caps%2C70&ref=nb_sb_noss
B50K 50K Ohm Potentiometer,1,https://www.amazon.fr/s?k=B50K+50K+Ohm+Potentiometer&crid=19UBE5R4CBE3C&sprefix=b50k+50k+ohm+potentiometer%2Caps%2C72&ref=nb_sb_noss
